Orig;dest;flow
desconhecido - MA; Canavieiras;0
desconhecido - MG; Canavieiras;0
desconhecido - PE; Canavieiras;0
desconhecido - PI; Canavieiras;0
desconhecido - PR; Canavieiras;0
  Santa Luzia do norte; Canavieiras;0
 Almadino; Canavieiras;0
 Aurelino Leal; Canavieiras;0
 Camacan; Canavieiras;0
 Canavieiras; Canavieiras;0
 Caravelas; Canavieiras;0
 Carlos Chagas; Canavieiras;0
 Eunapolis; Canavieiras;0
 Guaratinga; Canavieiras;0
 Ibicarai; Canavieiras;0
 Ilheus; Canavieiras;0
 Itabuna; Canavieiras;0
 Itajuipe; Canavieiras;0
 Itamaraju; Canavieiras;0
 Itanhem; Canavieiras;0
 Itapemirim; Canavieiras;0
 Itubera; Canavieiras;0
 Medeiros Neto; Canavieiras;0
 Mucuri; Canavieiras;0
 Nova Itarana; Canavieiras;0
 Nova Viçosa; Canavieiras;0
 Oruçu; Canavieiras;0
 Paulo Afonso; Canavieiras;0
 Porto Seguro; Canavieiras;0
 Potiragua; Canavieiras;0
 Prado; Canavieiras;0
 Salvador; Canavieiras;0
 Teixeira de Freitas; Canavieiras;0
 Una; Canavieiras;0
 Uruçuba; Canavieiras;0
 Valencia; Canavieiras;0
 Vitoria da Conquista; Canavieiras;0
 Acopiara; Canavieiras;0
 Goiania; Canavieiras;0
 Araujos; Canavieiras;0
 Imperatriz; Canavieiras;0
 Sao Luis; Canavieiras;0
   Aimorés; Canavieiras;0
   Belo Horizonte; Canavieiras;0
